Year,Population,Violent,Robbery
1960,179323175,288460,107840
1961,182992000,289390,106670
1962,185771000,301510,110860
1963,188483000,316970,116470
1964,191141000,364220,130390
1965,193526000,387390,138690
1966,195576000,430180,157990
1967,197457000,499930,202910
1968,199399000,595010,262840
1969,201385000,661870,298850
1970,203235298,738820,349860
1971,206212000,816500,387700
1972,208230000,834900,376290
1973,209851000,875910,384220
1974,211392000,974720,442400
1975,213124000,1039710,470500
1976,214659000,1004210,427810
1977,216332000,1029580,412610
1978,218059000,1085550,426930
1979,220099000,1208030,480700
1980,225349264,1344520,565840
1981,229146000,1361820,592910
1982,231534000,1322390,553130
1983,233981000,1258090,506570
1984,236158000,1273280,485010
1985,238740000,1328800,497870
1986,240132887,1489169,542775
1987,242282918,1483999,517704
1988,245807000,1566220,542970
1989,248239000,1646040,578330
