STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060603,74,57
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060604,77,57
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060605,81,54
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060606,83,62
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060607,83,65
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060608,82,60
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060609,67,53
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060610,62,49
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060611,65,55
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060612,69,53
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060613,74,52
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060614,78,56
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060615,85,64
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060616,91,74
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060617,92,73
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060618,79,69
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060619,86,68
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060620,78,64
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060621,88,73
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060622,82,67
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060623,72,60
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060624,79,55
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060625,72,61
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060626,71,61
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060627,79,60
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060628,77,59
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060629,77,57
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060630,86,60
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060701,91,69
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060702,85,74
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060703,83,71
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060704,78,66
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20060705,77,63
