STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980505,72,56
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980506,70,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980507,76,55
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980508,75,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980509,72,62
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980510,71,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980511,68,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980512,59,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980513,62,50
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980514,72,46
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980515,82,49
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980518,91,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980519,90,61
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980520,94,70
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980521,90,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980522,88,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980523,79,56
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980524,75,50
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980525,76,59
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980526,89,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980527,82,61
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980528,75,56
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980529,87,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980530,92,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980531,95,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980601,93,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980602,83,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980603,87,60
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980604,82,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980605,71,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980606,76,56
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980607,74,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980608,71,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980609,76,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980610,79,55
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980611,64,59
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980612,70,61
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980613,80,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980614,85,61
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980615,83,62
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980616,85,64
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980617,93,65
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980618,88,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980619,92,67
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980620,82,72
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980621,92,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980622,96,73
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980623,87,73
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980624,91,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980625,90,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980626,97,75
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980627,99,82
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980628,92,62
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980629,79,67
