STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750122,35,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750123,39,19
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750124,48,26
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750125,43,29
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750126,30,21
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750127,36,20
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750128,52,35
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750129,65,30
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750130,36,29
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750131,37,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750201,34,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750202,41,26
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750203,39,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750204,38,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750205,43,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750206,34,15
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750207,25,10
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750208,29,16
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750209,16,-4
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750210,30,-4
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750211,37,30
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750212,33,23
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750213,27,17
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750214,35,22
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750215,53,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750216,40,34
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750217,50,36
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750218,37,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750219,33,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750220,45,22
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750221,55,25
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750222,50,37
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750223,54,40
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750224,42,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750225,44,29
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750226,41,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750227,40,24
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750228,41,29
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750301,30,20
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750302,26,15
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750303,33,19
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750304,40,16
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750305,48,21
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750306,52,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750307,53,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750308,34,21
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750309,38,18
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750310,34,27
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750311,37,30
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750312,46,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750313,35,26
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750314,34,19
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750315,41,6
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750316,43,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750317,56,38
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750318,60,37
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750319,56,38
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750320,64,36
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750321,74,42
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750322,62,38
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750323,66,36
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750324,63,38
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750325,38,26
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750326,40,24
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750327,34,27
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750328,47,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750329,47,30
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750330,34,25
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750331,57,24
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750401,63,37
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750402,71,37
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750403,39,26
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750404,44,23
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750405,47,23
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750406,51,25
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750407,54,24
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750408,56,34
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750409,55,34
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750410,56,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750411,52,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750412,54,25
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750413,56,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750414,46,40
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750415,53,32
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750416,56,33
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750417,79,45
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750418,75,61
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750419,61,44
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750420,50,38
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750421,58,31
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750422,75,44
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750423,65,55
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750424,70,58
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750425,60,53
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750426,61,44
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750427,57,44
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750428,74,46
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750429,77,45
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750430,69,56
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750501,64,47
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750502,70,42
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750503,63,50
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750504,67,48
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750505,79,45
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750506,78,55
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750507,68,53
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750508,72,55
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750509,77,49
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750510,77,48
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750511,77,48
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750512,69,49
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750513,72,42
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750514,74,48
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750515,73,52
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750516,72,46
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750517,78,50
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750518,83,57
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750519,85,55
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750520,88,66
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750521,88,70
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750522,83,64
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750523,86,64
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750524,88,65
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750525,85,63
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750526,82,60
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750527,76,58
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750528,79,54
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750529,76,63
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750530,81,62
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750531,63,59
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750601,71,53
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750602,69,53
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750603,76,52
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750604,84,58
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750605,78,65
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,19750606,81,57
