STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930817,88,76
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930818,91,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930819,93,81
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930820,90,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930821,91,81
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930822,90,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930823,90,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930824,89,79
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930825,87,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930826,88,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930827,87,78
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930828,89,79
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930829,86,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930830,83,74
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930831,88,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930901,88,81
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930902,86,73
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930903,88,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930904,88,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930905,89,82
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930906,88,83
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930907,88,82
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930908,89,78
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930909,89,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930910,88,82
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930911,89,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930912,87,76
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930913,86,76
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930914,86,76
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930915,86,81
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930916,87,82
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930917,87,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930918,86,81
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930919,85,78
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930920,87,80
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930921,88,82
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930922,86,76
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930923,86,79
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930924,86,79
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930925,87,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930926,87,77
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930927,87,79
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930928,84,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930929,84,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19930930,84,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19931001,84,78
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19931002,82,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19931003,83,76
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19931004,82,74
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19931005,83,75
GHCND:USW00012859,MIAMI WEATHER SERVICE OFFICE CITY FL US,19931006,87,76
