STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800801,87,72
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800802,86,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800803,80,67
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800804,88,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800805,88,67
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800806,81,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800807,89,65
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800808,91,70
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800809,86,70
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800810,89,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800811,87,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800812,81,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800813,84,63
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800814,84,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800815,73,61
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800816,72,55
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800817,66,55
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800818,78,60
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800819,84,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800820,78,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800821,82,68
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800822,72,66
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800823,80,66
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800824,85,64
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800825,88,63
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800826,85,63
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800827,89,66
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800828,88,70
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800829,89,69
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800830,83,65
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800831,86,61
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800901,90,65
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800902,85,66
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800903,85,59
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800904,87,57
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800905,84,60
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800906,86,63
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800907,80,58
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800908,81,59
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800909,80,61
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800910,71,54
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800911,76,50
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800912,83,55
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800913,86,64
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800914,83,63
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800915,69,59
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800916,76,56
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800917,74,58
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800918,71,55
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800919,79,52
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800920,85,56
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800921,83,66
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800922,80,63
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800923,69,52
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800924,71,49
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800925,75,49
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800926,64,45
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800927,66,41
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800928,71,49
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800929,77,49
GHCND:USW00094823,PITTSBURGH ASOS PA US,19800930,77,51
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801001,78,51
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801002,62,50
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801003,63,45
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801004,55,41
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801005,55,41
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801006,59,35
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801007,64,46
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801008,73,48
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801009,70,48
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801010,75,43
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801011,62,45
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801012,45,41
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801013,46,40
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801014,50,36
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801015,70,45
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801016,75,52
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801017,77,51
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801018,70,52
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801019,60,38
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801020,51,36
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801021,63,43
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801022,54,37
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801023,53,31
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801024,61,37
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801025,50,34
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801026,37,34
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801027,46,30
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801028,42,36
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801029,46,27
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801030,49,24
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801031,56,33
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801101,51,36
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801102,48,31
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801103,69,31
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801104,58,40
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801105,46,31
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801106,50,28
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801107,70,48
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801108,56,37
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801109,66,38
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801110,48,32
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801111,35,31
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801112,45,31
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801113,60,29
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801114,59,40
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801115,40,35
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801116,43,28
GHCND:USW00094823,PITTSBURGH ASOS PA US,19801117,31,26
